"id_releve","YR.REL","x_l93","y_l93","ELEV","surface","meta_original_id_rel"
8677575,2020,950918.09,6455397.88,2481,40,NA
8677720,2020,949505.44,6455674.32,2801,NA,NA
8739710,2000,965143.754,6445571.697,2680,NA,672428
8739711,2000,964920.016,6445713.212,2716,NA,672429
8739712,2000,965430.8,6445226.804,2632,NA,672430
8739714,2000,965750.452,6444949.348,2587,NA,672433
8739725,2000,967907.002,6445101.063,2403,NA,672466
8739726,2000,967924.44,6445107.818,2407,NA,672467
8739728,2000,966866.496,6444327.913,2516,NA,672470
8739729,2000,967021.478,6444319.569,2464,NA,672471
8739737,2000,965944.124,6444848.591,2571,NA,672497
8743090,2012,1015710.8,6407866.7,2722,50,935385
8743107,2011,1005952.687,6420959.843,2564,NA,873734
8743733,2009,994643.852,6484324.624,2209,NA,695049
8744100,2008,1000003.448,6482645.619,2118,NA,657775
8744117,2010,992318.652,6379720.356,2247,NA,753667
8744211,2009,981254.684,6429120.646,2460,NA,695799
8744254,2010,921579.256,6404925.569,2080,NA,755090
8744388,2012,924196.21,6413009.6,2181,NA,929068
8744863,2009,942946.445,6433207.866,2528,NA,691920
8748712,2010,937277.04,6438672.698,2376,NA,790815
8752656,2010,929663.66,6433864.634,2299,NA,758046
8762407,2008,973576.697,6448252.802,2587,50,669772
8762570,2004,1005100.885,6423240.972,2748,NA,575511
8785176,2000,967878.609,6447303.863,2384,NA,672605
8785177,2000,966753.029,6446490.031,2702,NA,672609
8791551,2019,1014847.14,6488427.89,2687,NA,1548512
8795598,2004,1000176.576,6421580.746,2623,NA,574645
8795599,2004,1000198.342,6421483.719,2622,NA,574647
8795601,2004,1000285.412,6421420.861,2614,NA,574651
8813696,2017,964692.6947605,6444265.402133,2056,100,1453821
8819191,2016,994803.4479336,6468994.47521,2357,9,1205479
8819259,2008,954904.217,6436069.306,2246,NA,663817
8823586,2009,996227.086,6483624.944,2505,NA,695022
8823746,2016,1000086.05,6476225.04,2210,16,1206082
8823748,2016,983598.7247567,6477023.606876,2523,9,1205541
8826617,2010,966253.555,6485552.558,2535,NA,753795
8826628,2004,990255.743,6411895.426,2367,NA,574528
8826660,2004,999774.384,6422731.284,2640,NA,574912
8826668,2004,997620.04,6421903.494,2536,NA,575120
8826746,2004,1000191.856,6421411.351,2650,NA,574649
8826747,2004,989645.779,6419238.293,2283,NA,574832
8827828,2013,937775.5194,6434287.7736,2611,150,945272
8827829,2012,936921.1205294,6434807.151748,2393,100,959127
8831926,2004,1004058.996,6422528.523,2440,NA,574713
8842634,2008,1017837.685,6413268.92,2339,NA,657083
8845839,2011,996599.96,6361333.426,2345,NA,874364
8847473,2008,1017742.24,6413280.075,2312,NA,657082
8847784,2002,1010016.098,6374898.296,2451,30,390161
8847923,2002,995235.009,6354188.5,2389,12,390656
8848103,2002,1007808.112,6368579.533,2598,NA,389635
8848109,2002,1000878.319,6363273.25,2506,NA,390022
8851037,2014,937521.7695631,6435653.853196,2492,10,1053096
8856999,2019,1012677.745,6489207.089,2419,NA,1548407
8859046,2014,994072.9823893,6341380.82835,2489,100,1021054
8862045,2010,953409.126,6449380.216,2356,NA,755215
8863676,2019,1012669.936,6489206.693,2419,NA,1548406
8863682,2019,1012346.603,6488634.321,2571,NA,1548422
8867466,2002,955183.92,6417134.708,2281,NA,410765
8875655,2000,967037.879,6445702.912,2661,NA,672457
8875658,2000,968086.977,6445104.83,2376,NA,672463
8876290,2000,968177.758,6446664.48,2528,NA,672646
8877803,2000,965418.278,6445851.549,2659,NA,672413
8877804,2000,965418.566,6445894.581,2654,NA,672414
8877810,2000,968054.791,6446260.982,2593,NA,672440
8877811,2000,967931.741,6446187.637,2568,NA,672441
8877814,2000,967463.586,6445829.29,2738,NA,672444
8877815,2000,967787.443,6445686.18,2639,NA,672447
8877818,2000,967096.447,6445495.335,2627,NA,672453
8877823,2000,966406.041,6445091.497,2412,NA,672508
8877825,2000,965254.355,6445970.598,2699,NA,672518
8878226,2000,967079.375,6445018.381,2375,NA,672488
8879893,2000,967071.471,6446718.823,2644,NA,672524
8879894,2000,967126.843,6446717.204,2644,NA,672529
8879895,2000,969008.397,6446852.499,2487,NA,672573
8879897,2000,968680.716,6447035.397,2455,NA,672587
8879898,2000,968557.055,6447206.127,2442,NA,672588
8881390,2000,967655.703,6446916.071,2455,NA,672643
8885826,2000,967121.783,6446983.109,2599,NA,672638
8896077,2002,996370.654,6362400.637,2285,NA,391195
8902048,2014,1013044.038427,6407450.13139,2347,30,972289
8907219,2004,1000421.19,6421603.539,2526,NA,574640
8907362,2004,993841.385,6420289.186,2524,NA,575588
8915061,2011,990892.384,6416306.197,2461,NA,875802
8920635,2019,992478.5843284,6423011.293887,2297,20,1538291
8921360,2008,961873.822,6407313.757,2450,NA,665083
8921957,2010,966079.717,6441582.902,2202,NA,790893
8922553,2006,967532.557,6445726.213,2693,NA,593251
8928335,2004,1002661.709,6422383.452,2597,NA,574693
8929993,2004,999227.575,6422477.835,2664,NA,574962
8930085,2004,988699.722,6417068.96,2609,NA,575273
8931479,2012,1015537.77,6408526.65,2629,NA,922925
8946935,2006,968993.506,6437298.244,2555,NA,593256
8952821,2008,963571.126,6445867.884,2414,25,655900
8969025,2009,1014310.679,6494014.955,2759,NA,693314
8970491,2016,992060.632,6471009.343,2803,16,1205616
8971326,2012,1015550.12,6408371.41,2633,25,921537
8971513,2002,1017807.907,6412116.33,2349,NA,498688
8972288,2009,1013777.133,6494343.026,2759,NA,693315
8972335,2004,996401.605,6424118.108,2607,NA,573635
8972378,2004,1000535.195,6422842.983,2559,NA,573756
8972459,2004,989399.052,6413959.152,2448,NA,574219
8972482,2004,1000360.197,6421509.529,2573,NA,574654
8972503,2004,1003338.122,6423029.821,2327,NA,575480
8976767,2008,1007037.907,6503455.099,2295,NA,662981
8977255,2008,955502.457,6449755.163,2046,NA,658090
8977934,2008,986182.054,6418374.924,2676,NA,658769
8978081,2019,1008524.58,6490221,2636,NA,1548461
8978089,2013,948421.0878,6460879.3488,2524,30,958937
8978179,2009,946507.647,6449242.291,2649,NA,691791
8978189,2009,927767.711,6440855.547,2363,NA,692844
8978315,2010,921737.182,6404777.128,2220,NA,755181
8978333,2015,948202.3914,6451054.426,2269,70,1141751
8978853,2017,1002518.006349,6367813.472644,2543,NA,1360797
8979264,2004,1003128.924,6422792.462,2443,NA,574699
8979578,2008,1009490.069,6482546.651,2763,NA,660661
8979607,2008,1011697.101,6467846.397,2798,25,669941
8979698,2008,964233.138,6447972.938,2438,25,660331
8979710,2010,966254.105,6445111.992,2436,NA,790906
8979717,2010,966137.572,6441524.352,2244,NA,790894
8981482,2008,952879.8,6451970.567,2192,NA,663227
8981537,2011,1015103.173,6410404.772,2398,NA,872237
8981730,2002,1006851.182,6369185.396,2321,NA,389625
8981738,2002,1007900.023,6368462.913,2619,NA,389633
8981782,2002,1005586.907,6368213.907,2510,NA,389700
8982334,2015,924688.5747601,6404328.745573,2070,40,1072755
8982642,2014,952259.0718,6441011.2764,2605,10,1020069
8983422,2002,1002112.644,6364828.871,2276,NA,390689
8983513,2007,999990.649,6394606.141,2731,30,623885
8983851,2002,1001652.554,6362942.973,2428,NA,390028
8983875,2000,967354.359,6446718.997,2537,NA,672622
8983912,2003,1013364.506,6492432.583,2566,NA,494537
8985224,2012,1015501.41,6408537.74,2622,30,921668
8986401,2004,989060.657,6409486.3,2397,NA,573582
8986419,2004,996725.087,6424485.763,2741,NA,573641
8986430,2004,993812.52,6421309.563,2279,NA,573683
8986431,2004,993699.689,6421195.168,2245,NA,573685
8986433,2002,1007129.014,6370069.83,2479,NA,389758
8986434,2004,993633.476,6421240.083,2231,NA,573687
8986461,2004,993074.875,6420078.984,2407,NA,573710
8986471,2004,992917.042,6419966.491,2456,NA,573712
8986474,2004,992969.106,6420359.217,2371,NA,573716
8986475,2004,992434.431,6420445.195,2421,NA,573719
8986477,2004,1001105.29,6422966.575,2292,NA,573743
8986487,2004,1001083.68,6422927.502,2319,NA,573744
8986498,2004,999918.821,6422970.41,2717,NA,573772
8986509,2004,989230.355,6417458.792,2451,NA,573829
8986510,2004,989261.823,6417410.216,2495,NA,573830
8986565,2004,1002460.638,6422858.071,2386,NA,574689
8986566,2004,1002599.98,6422774.764,2454,NA,574690
8986567,2004,1003231.474,6422748.412,2439,NA,574701
8986592,2004,1000168.133,6421992.656,2488,NA,574890
8986593,2004,999681.351,6423037.046,2571,NA,574918
8986599,2007,1015950.29,6477664.864,2477,40,628566
8986623,2009,1011660.405,6484338.139,2671,NA,692022
8986675,2004,991779.4,6419755.043,2573,NA,575755
8986878,2004,996260.904,6425624.521,2280,NA,575853
8987895,2008,964401.407,6447300.808,2660,10,660403
8987986,2008,986099.46,6449816.068,2651,200,669434
8990249,2010,966360.719,6485714.246,2551,NA,753820
8991257,1995,964464.691,6409075.805,2568,NA,392281
8992138,2008,976090.426,6549090.967,2272,5,656650
8998582,2001,950081.063,6405700.201,2233,NA,410239
8998737,2016,991941.90722,6470943.965972,2767,9,1204932
8998748,2012,972199.99,6456762.08,2306,30,933977
8999169,2018,990631.354,6470358.869,2312,50,1487005
8999206,2018,999683.0178269,6360720.055029,2538,30,1451174
9000046,2008,1004507.917,6469066.507,2469,15,669829
9003155,2018,950627.593,6457574.981,2579,25,1518815
9006147,2016,1011888.785469,6495165.855115,2489,9,1205609
9006988,2002,954989.359,6417276.82,2295,NA,570542
9007127,2008,971743.465,6445824.085,2740,20,669735
9007973,2000,967307.504,6445353.35,2554,NA,672455
9008587,2004,995137.53,6421302.104,2424,NA,573660
9008634,2004,997678.542,6424017.862,2842,NA,573652
9008641,2004,994318.621,6421194.337,2164,NA,573676
9008645,2004,993222.072,6420266.034,2370,NA,573705
9008651,2004,992800.942,6420133.162,2414,NA,573715
9008675,2004,992761.086,6420405.486,2361,NA,573717
9008843,2004,995418.565,6421698.696,2313,NA,573795
9009307,2004,992615.687,6421454.412,2457,NA,574109
9009320,2004,989420.856,6414457.514,2222,NA,574194
9009323,2004,989616.174,6414135.341,2338,NA,574208
9009497,2004,991407.207,6421728.041,2497,NA,574386
9009503,2004,991478.739,6421736.388,2533,NA,574387
9009505,2004,998443.972,6423390.978,2626,NA,574404
9009570,2004,1002885.301,6422735.582,2545,NA,574695
9009594,2004,997710.189,6424890.019,2399,NA,574592
9009596,2004,997376.128,6424835.037,2519,NA,574596
9009609,2004,1000816.88,6420797.983,2503,NA,574670
9009612,2004,1001638.705,6422847.258,2174,NA,574680
9009615,2004,1002626.205,6422703.981,2491,NA,574691
9009622,2004,1004312.669,6422510.88,2482,NA,574716
9009644,2004,1002053.424,6425719.558,2674,NA,574793
9009646,2004,1002058.717,6425683.787,2671,NA,574795
9009647,2004,1002200.124,6425644.61,2741,NA,574796
9009780,2004,999678.345,6422344.375,2540,NA,574901
9009792,2004,998865.337,6422636.588,2697,NA,574982
9009794,2004,999063.868,6422758.196,2623,NA,574993
9009795,2004,999104.492,6422698.098,2618,NA,574994
9009841,2004,997060.11,6421369.407,2304,NA,575083
9009843,2004,997583.828,6420856.983,2476,NA,575088
9009885,2004,988165.886,6415605.284,2322,NA,575238
9009893,2004,988671.425,6416833.488,2597,NA,575276
9009906,2004,1001534.83,6422050.616,2322,NA,575302
9009907,2004,1001514.792,6421949.569,2364,NA,575303
9009919,2004,1000815.938,6420138.426,2688,NA,575355
9009962,2004,1004082.45,6423361.33,2644,NA,575420
9009967,2004,1004217.211,6423926.351,2809,NA,575430
9009968,2004,1004725.438,6423798.062,2898,NA,575440
9009975,2004,1002734.55,6423141.582,2272,NA,575463
9010020,2004,1004631.833,6423163.982,2671,NA,575504
9010029,2004,1002942.52,6423096.645,2299,NA,575467
9010114,2004,1005225.828,6423423.232,2806,NA,575513
9010179,2004,1005639.183,6422718.906,2690,NA,575552
9010274,2004,994360.493,6420956.14,2221,NA,575565
9010334,2004,995766.738,6420664.434,2501,NA,575614
9010338,2004,995921.992,6420829.918,2393,NA,575618
9010571,2004,1001221.875,6420848.562,2460,NA,575634
9010623,2004,1001293.487,6420929.083,2391,NA,575638
9010625,2004,1001767.916,6420692.827,2454,NA,575644
9010636,2004,1001939.183,6420509.969,2547,NA,575647
9010683,2004,990772.468,6419427.816,2443,NA,575726
9010704,2004,991699.966,6419656.26,2546,NA,575754
9010778,2004,996275.734,6425851.391,2248,NA,575851
9016832,2018,972730.639,6452174.598,2027,100,1473600
9017407,2009,1016616.058,6485370.083,2591,NA,693135
9017884,2009,957757.538,6416476.162,2841,NA,701297
9017888,2009,964100.623,6392492.031,2201,NA,701316
9018223,2008,954891.362,6436053.773,2270,NA,663819
9019012,2008,929117.396,6397469.843,2165,NA,655424
9019055,2008,950930.357,6436724.976,2824,NA,663969
9019146,2000,967144.488,6444460.923,2361,NA,672474
9019997,2008,971473.172,6472009.778,2365,NA,660381
9020443,2014,951557.22,6440764.0734,2560,50,1020023
9023710,2002,996814.967,6361897.089,2439,NA,391196
9024334,2012,924995.3424,6410229.711,2484,80,929152
9024951,2016,990174.97796,6472196.547008,2734,9,1205455
9024994,2013,996263.0334,6501006.5592,2393,36,967280
9025019,2014,1004170.2648,6485028.3486,2553,20,1028168
9025193,2008,1003736.221,6466066.467,2427,25,669840
9025720,2007,1010450.682,6495412.389,2299,NA,627065
9025742,2007,1015709.531,6469946.39,2160,NA,627204
9026030,2008,1006934.825,6503449.954,2347,NA,662983
9026163,2008,1020719.681,6482705.685,2526,NA,663387
9026483,2002,1015490.323,6408504.551,2624,NA,410603
9026516,2008,971563.545,6471913.7,2381,NA,660382
9026524,2008,994276.196,6435711.616,2144,50,669226
9027144,2002,994891.021,6353755.987,2566,60,390652
9027913,2008,952165.574,6446379.505,2265,NA,655890
9027927,2010,921721.153,6404987.618,2175,NA,755115
9027945,2008,960397.51,6446642.315,2369,NA,674573
9028235,2013,953047.9176,6445073.4096,2220,70,945078
9028250,2013,951542.4636,6444332.6556,2283,40,944130
9029803,2000,967148.183,6446699.114,2638,NA,672546
9029804,2000,967132.641,6446615.407,2623,NA,672547
9029811,2000,968552.947,6447038.871,2463,NA,672593
9029852,2000,967069.815,6446773.777,2642,NA,672619
9030205,2009,999445.987,6457309.558,2785,NA,694693
9030308,2012,929905.0244132,6430307.197411,2546,100,959155
9030477,2008,1004522.438,6468915.113,2486,25,669828
9031030,2004,1003068.975,6422780.54,2462,NA,574698
9031495,2011,990238.963,6417130.371,2450,NA,876469
9032476,2000,966685.43,6446545.152,2688,NA,672608
9032480,2000,967134.522,6446423.4,2590,NA,672615
9032559,2001,996607.532,6360104.615,2453,NA,388423
9033264,2017,974468.9394061,6431771.154196,2523,100,1453732
9033556,2008,994537.651,6440973.613,2463,50,669115
9034744,2008,929393.262,6397523.969,2332,NA,655435
9036385,2013,959935.083,6394657.5318,2249,10,940475
9036475,2012,1015560.69,6408362.75,2633,15,921364
9037631,2012,1015527.14,6408450.1,2629,15,921701
9038313,2009,981330.377,6428924.944,2445,NA,695810
9039018,2007,1009113.145,6398054.703,2192,40,624185
9039326,1998,998943.372,6358288.262,2327,NA,388286
9042225,2012,1015506.19,6408552.83,2622,NA,922892
9042696,2013,951629.9634,6443884.2456,2145,100,944072
9042878,2009,962381.221,6431743.233,2593,NA,693422
9043069,2018,937066.738,6427519.551,2415,30,1519079
9043171,2012,943159.2690292,6426729.065831,2149,100,959233
9043183,2010,969247.913,6436637.924,2346,NA,754354
9043418,2008,1021085.982,6473969.377,2368,25,667658
9043504,2014,1003628.1402,6484943.2752,2478,50,996936
9043598,2008,965612.002,6528837.609,2055,NA,656609
9043945,2008,975287.1,6545310.975,2501,NA,658937
9047453,2002,1000315.868,6363896.998,2609,NA,389921
9050326,2008,986413.842,6418431.594,2633,NA,658783
9050329,2008,986698.289,6418783.891,2533,NA,658805
9051620,2008,954416.109,6445434.938,2359,NA,661426
9051888,2007,970759.64,6436399.421,2602,NA,666264
9053510,2009,961802.78,6394289.654,2489,NA,701318
9053797,2011,998133.048,6419500.178,2507,NA,876228
9053799,2011,998201.005,6419360.319,2480,NA,876231
9055708,2008,980926.004,6438674.474,2365,25,669190
9056018,2002,978644.481,6409891.504,2480,NA,570375
9056024,2002,979901.869,6438159.01,2575,NA,570392
9056077,2002,956862.142,6415956.006,2634,NA,570513
9056080,2002,956487.975,6415474.396,2575,NA,570517
9056161,2008,961668.018,6449129.766,2713,NA,659408
9056306,2008,928660.104,6398197.37,2261,NA,655463
9056593,2014,1000097.7174,6482282.7732,2120,5,996930
9057491,2004,989587.144,6417785.561,2333,NA,573835
9057516,2016,991032.438,6472173.127,2800,9,1204940
9057517,2016,1017334.744178,6485027.887235,2707,16,1205480
9057525,2016,991847.825,6470875.349,2756,NA,1205617
9057627,2004,989987.098,6416493.219,2495,NA,574182
9057657,2004,1000139.086,6421471.858,2645,NA,574648
9057659,2004,1000487.528,6421394.573,2515,NA,574655
9057678,2004,1004337.086,6421981.648,2602,NA,574720
9057772,2009,1012248.883,6486435.46,2448,NA,692004
9057942,2004,999733.298,6422549.171,2575,NA,574904
9057943,2004,999804.373,6422507.555,2583,NA,574905
9057954,2004,998956.48,6422874.135,2652,NA,574992
9057974,2004,997757.628,6421960.103,2553,NA,575121
9057993,2011,963191.455,6490488.072,2530,NA,877573
9058035,2004,1005361.102,6423263.725,2792,NA,575521
9058037,2004,1005890.786,6423555.918,2883,NA,575528
9058067,2004,994438.416,6420256.308,2471,NA,575575
9058120,2009,1012268.176,6486249.295,2447,NA,692009
9058147,2009,1014940.95,6487808.304,2749,NA,693104
9058230,2008,1000513.789,6483723.146,2226,NA,657787
9058366,2016,1017507.463738,6485042.065335,2744,16,1205481
9058441,2004,1002452.009,6420937.143,2565,NA,575674
9058442,2004,1002958.331,6420778.583,2670,NA,575681
9058467,2014,1004051.1258,6485295.2262,2558,50,1028064
9058468,2016,1009856.421364,6495576.313528,2358,16,1205575
9058668,2015,966254.8844369,6445117.589377,2421,100,1206366
9059035,2002,974228.257,6403327.041,2692,NA,570418
9059057,2002,956690.111,6415946.926,2557,NA,570525
9059091,2003,960694.938,6446852.882,2441,NA,571284
9059256,2004,993534.305,6421183.376,2238,NA,573688
9059265,2004,993087.574,6420081.582,2409,NA,573709
9059275,2004,992511.226,6420705.981,2405,NA,573724
9059322,2004,990737.132,6410931.11,2321,NA,573903
9059329,2004,990298.678,6411800.353,2434,NA,573928
9059378,2004,989932.027,6414917.549,2254,NA,574244
9059396,2004,993199.509,6422229.379,2339,NA,574095
9059403,2004,989647.632,6414148.809,2339,NA,574206
9059408,2004,990125.214,6414488.216,2523,NA,574234
9059431,2004,997782.055,6424905.463,2388,NA,574591
9059433,2004,996482.116,6424894.504,2535,NA,574609
9059466,2004,999520.537,6422620.004,2608,NA,574930
9059468,2004,999548.338,6422397.17,2612,NA,574935
9059469,2004,999490.964,6422494.489,2616,NA,574936
9059471,2004,999884.058,6423855.412,2348,NA,574943
9059472,2004,999959.644,6423645.888,2443,NA,574946
9059487,2004,991171.844,6413921.515,2417,NA,575053
9059509,2004,1003651.347,6422943.994,2356,NA,575486
9059517,2004,1004906.278,6423303.505,2727,NA,575507
9059522,2004,991659.106,6419494.235,2527,NA,575707
9059525,2004,997783.116,6423840.723,2758,NA,575880
9059537,2006,976678.434,6433039.975,2611,NA,593253
9062028,2014,936607.0989011,6435772.465498,2090,100,1053091
9063449,2013,955279.6572,6455034.8238,2845,100,959370
9065064,2000,967302.231,6444503.729,2308,NA,672492
9065065,2000,965929.348,6444580.837,2674,NA,672494
9065070,2000,966012.368,6444894.535,2552,NA,672504
9065071,2000,966451.57,6444873.351,2457,NA,672507
9065075,2000,965171.877,6445926.056,2726,NA,672519
9065362,2008,957213.182,6449663.778,2423,100,656142
9075246,2000,967136.178,6445742.158,2661,NA,672452
9075258,2000,964633.946,6446136.202,2875,NA,672415
9075259,2000,964765.381,6445747.633,2754,NA,672417
9075276,2000,966227.467,6444922.763,2522,NA,672506
9075282,2000,968351.031,6445903.609,2487,NA,672515
9075283,2000,965241.165,6445880.995,2705,NA,672517
9081766,2011,1004829.401,6399867.29,2488,NA,864350
9084238,2004,1002961.457,6421725.484,2691,NA,574736
9093172,2013,1018321.7274,6414584.778,2537,100,961377
9094865,2015,948444.2148,6450925.389,2178,70,1141744
9094942,2015,947357.2524,6450662.662,2483,80,1141715
9094990,2018,990944.885,6469853.398,2250,10,1486911
9097145,2015,966155.1772521,6441571.706837,2239,100,1206349
9100017,2008,1006063.395,6504518.302,2585,NA,662993
9100402,2016,933065.95,6456163.41,2430,70,1205047
9100499,2013,948453.0486,6461158.0572,2481,60,954153
9104257,2008,976140.513,6414346.137,2310,NA,666216
9105390,2004,996175.172,6424882.908,2391,NA,575862
9105392,2004,996090.025,6424622.674,2423,NA,575864
9105396,2004,996043.323,6424302.223,2437,NA,575872
9105397,2004,996560.657,6424141.688,2674,NA,575873
9105398,2004,997087.73,6424329.916,2820,NA,575876
9110267,2019,1008912.72,6490129.25,2624,NA,1548470
9118420,2000,968418.507,6447344.2,2432,NA,672570
