"id_releve","Carex_present","Salix_present","both_species","ELEV_carex","YEAR_carex","x_l93_carex","y_l93_carex","ELEV_salix","YEAR_salix","x_l93_salix","y_l93_salix","ELEV","YR.REL","x_l93","y_l93","status","ELEV_class","type","period","decade"
"8677575",1,0,"0",2481,2020,950918.09,6455397.88,NA,NA,NA,NA,2481,2020,950918.09,6455397.88,"Carex seul","2000–2500","Carex_only","(2019,2024]",2020
"8677720",1,1,"1",2801,2020,949505.44,6455674.32,2801,2020,949505.44,6455674.32,2801,2020,949505.44,6455674.32,"Co-occurrence",">2500","Both","(2019,2024]",2020
"8739710",1,0,"0",2680,2000,965143.754,6445571.697,NA,NA,NA,NA,2680,2000,965143.754,6445571.697,"Carex seul",">2500","Carex_only","(1999,2004]",2000
"8739711",1,0,"0",2716,2000,964920.016,6445713.212,NA,NA,NA,NA,2716,2000,964920.016,6445713.212,"Carex seul",">2500","Carex_only","(1999,2004]",2000
"8739712",1,0,"0",2632,2000,965430.8,6445226.804,NA,NA,NA,NA,2632,2000,965430.8,6445226.804,"Carex seul",">2500","Carex_only","(1999,2004]",2000
"8739714",1,0,"0",2587,2000,965750.452,6444949.348,NA,NA,NA,NA,2587,2000,965750.452,6444949.348,"Carex seul",">2500","Carex_only","(1999,2004]",2000
"8739725",1,1,"1",2403,2000,967907.002,6445101.063,2403,2000,967907.002,6445101.063,2403,2000,967907.002,6445101.063,"Co-occurrence","2000–2500","Both","(1999,2004]",2000
"8739726",1,0,"0",2407,2000,967924.44,6445107.818,NA,NA,NA,NA,2407,2000,967924.44,6445107.818,"Carex seul","2000–2500","Carex_only","(1999,2004]",2000
"8739728",1,1,"1",2516,2000,966866.496,6444327.913,2516,2000,966866.496,6444327.913,2516,2000,966866.496,6444327.913,"Co-occurrence",">2500","Both","(1999,2004]",2000
"8739729",1,0,"0",2464,2000,967021.478,6444319.569,NA,NA,NA,NA,2464,2000,967021.478,6444319.569,"Carex seul","2000–2500","Carex_only","(1999,2004]",2000
"8739737",1,0,"0",2571,2000,965944.124,6444848.591,NA,NA,NA,NA,2571,2000,965944.124,6444848.591,"Carex seul",">2500","Carex_only","(1999,2004]",2000
"8743090",1,0,"0",2722,2012,1015710.8,6407866.7,NA,NA,NA,NA,2722,2012,1015710.8,6407866.7,"Carex seul",">2500","Carex_only","(2009,2014]",2010
