"ID","Year","X_L93","Y_L93","Cluster"
"1.5/8.5",2001,967055.577014369,6446765.16346092,1
"1.5/9.5",2001,967067.542685238,6446765.46786071,1
"10.0/10.0",2001,967078.214626446,6446668.92705445,2
"10.0/11.0",2001,967090.119071603,6446669.91148934,3
"10.0/12.0",2001,967102.023516737,6446670.89592423,3
"10.0/13.0",2001,967113.927961893,6446671.88035912,4
"10.0/14.0",2001,967125.832407027,6446672.86479401,4
"10.0/15.0",2001,967136.744815066,6446673.8492289,3
"10.0/17.0",2001,967160.553705357,6446675.81809868,3
"10.0/18.0",2001,967172.458150491,6446676.80253357,4
"10.0/19.0",2001,967184.362595633,6446677.78696846,2
"10.0/2.0",2001,966984.963139497,6446661.05157533,1
"10.0/3.0",2001,966995.875547558,6446662.03601022,5
"10.0/4.0",2001,967007.779992692,6446663.02044511,2
"10.0/5.0",2001,967019.684437849,6446664.00488,2
"10.0/6.0",2001,967031.588882983,6446664.98931489,5
"10.0/7.0",2001,967042.501291022,6446665.97374978,2
"10.0/8.0",2001,967055.397773258,6446666.95818467,2
"10.0/9.0",2001,967066.310181312,6446667.94261956,2
"10.5/1.5",2001,966979.010916926,6446655.144966,1
"10.5/10.5",2001,967084.166849025,6446664.00488,3
"10.5/11.5",2001,967097.063331254,6446664.98931489,3
"10.5/12.5",2001,967107.975739315,6446665.97374978,3
"10.5/14.5",2001,967131.784629591,6446667.94261956,3
"10.5/15.5",2001,967143.68907474,6446668.92705445,3
"10.5/16.5",2001,967155.593519874,6446669.91148934,6
"10.5/17.5",2001,967167.497965015,6446670.89592423,4
"10.5/18.5",2001,967178.410373069,6446671.88035912,2
"10.5/2.5",2001,966990.419343527,6446656.12940089,5
"10.5/3.5",2001,967002.819807231,6446657.11383577,7
"10.5/4.5",2001,967013.73221527,6446658.09827067,2
"10.5/5.5",2001,967026.6286975,6446659.08270555,2
"10.5/6.5",2001,967037.541105561,6446660.06714044,2
"10.5/7.5",2001,967049.445550695,6446661.05157533,2
"10.5/8.5",2001,967061.349995829,6446662.03601022,2
"10.5/9.5",2001,967073.254440971,6446663.02044511,2
"11.0/1.0",2001,966973.058694363,6446649.23835665,1
"11.0/10.0",2001,967079.206663541,6446658.09827067,2
"11.0/11.0",2001,967090.119071603,6446659.08270555,6
"11.0/12.0",2001,967103.015553832,6446660.06714044,3
"11.0/13.0",2001,967113.927961893,6446661.05157533,4
"11.0/14.0",2001,967125.832407027,6446662.03601022,6
"11.0/15.0",2001,967137.736852162,6446663.02044511,3
"11.0/16.0",2001,967149.641297303,6446664.00488,6
"11.0/17.0",2001,967161.609112682,6446664.53586333,6
"11.0/18.0",2001,967173.450187586,6446665.97374978,4
"11.0/19.0",2001,967185.024055289,6446666.69360081,2
"11.0/2.0",2001,966984.963139497,6446650.22279155,8
"11.0/3.0",2001,966995.875547558,6446651.20722643,2
"11.0/4.0",2001,967008.573591891,6446651.69556658,2
"11.0/5.0",2001,967020.345897505,6446652.77922042,2
"11.0/6.0",2001,967032.184044284,6446653.76365531,7
"11.0/7.0",2001,967043.493328117,6446655.144966,2
"11.0/8.0",2001,967055.397773258,6446656.12940089,2
"11.0/9.0",2001,967067.302218407,6446657.11383577,2
"11.5/1.5",2001,966980.002954021,6446643.33174732,3
"11.5/10.5",2001,967085.15888612,6446652.19166132,2
"11.5/11.5",2001,967097.063331254,6446653.17609622,3
"11.5/12.5",2001,967108.96777641,6446654.1605311,9
"11.5/13.5",2001,967120.872221544,6446655.144966,9
"11.5/14.5",2001,967131.784629591,6446656.12940089,3
"11.5/15.5",2001,967144.681111835,6446657.11383577,1
"11.5/16.5",2001,967155.593519874,6446658.09827067,6
"11.5/17.5",2001,967167.497965019,6446659.574923,4
"11.5/18.5",2001,967179.402410164,6446660.06714044,2
"11.5/2.5",2001,966990.915362075,6446644.31618221,2
"11.5/3.5",2001,967002.819807231,6446645.3006171,2
"11.5/4.5",2001,967014.724252366,6446646.28505199,2
"11.5/5.5",2001,967026.6286975,6446647.26948688,2
"11.5/6.5",2001,967038.533142641,6446648.25392176,9
"11.5/7.5",2001,967050.43758779,6446649.23835665,9
"11.5/8.5",2001,967061.349995829,6446650.22279155,2
"11.5/9.5",2001,967074.246478066,6446651.20722643,2
"12.0/0.0",2001,966962.146286309,6446636.44070309,8
"12.0/1.0",2001,966973.058694363,6446637.42513798,3
"12.0/10.0",2001,967080.198700644,6446646.28505199,2
"12.0/13.0",2001,967114.919998974,6446649.23835665,9
"12.0/15.0",2001,967137.736852162,6446651.20722643,3
"12.0/16.0",2001,967150.633334398,6446652.19166132,6
"12.0/17.0",2001,967161.545742452,6446653.17609622,3
"12.0/18.0",2001,967173.450187586,6446654.1605311,3
"12.0/2.0",2001,966985.955176592,6446638.40957287,6
"12.0/3.0",2001,966997.502585923,6446639.18234067,2
"12.0/4.0",2001,967008.772029787,6446640.37844265,2
"12.0/5.0",2001,967020.676474921,6446641.36287754,2
"12.0/6.0",2001,967032.580920078,6446642.34731243,7
"12.0/7.0",2001,967044.565149405,6446643.27654997,9
"12.0/9.0",2001,967067.99013645,6446645.24770033,2
"12.5/1.5",2001,966980.002954021,6446632.50296353,3
"12.5/10.5",2001,967086.150923215,6446641.36287754,2
"12.5/11.5",2001,967098.055368356,6446642.34731243,3
"12.5/12.5",2001,967108.96777641,6446643.33174732,10
"12.5/14.5",2001,967132.776666686,6446645.3006171,9
"12.5/15.5",2001,967144.681111835,6446646.28505199,3
"12.5/16.5",2001,967156.585556969,6446647.26948688,3
"12.5/17.5",2001,967168.490002111,6446648.25392176,3
"12.5/2.5",2001,966991.90739917,6446633.48739842,2
"12.5/3.5",2001,967003.811844312,6446634.47183331,2
"12.5/4.5",2001,967014.724252366,6446635.4562682,5
"12.5/5.5",2001,967027.620734595,6446636.44070309,2
"12.5/6.5",2001,967038.533142641,6446637.42513798,2
"12.5/7.5",2001,967050.43758779,6446638.40957287,2
"12.5/8.5",2001,967062.342032924,6446639.39400776,9
"12.5/9.5",2001,967074.246478066,6446640.37844265,2
"13.0/0.0",2001,966963.138323404,6446624.62748441,3
"13.0/1.0",2001,966974.050731458,6446625.61191931,3
"13.0/10.0",2001,967080.198700644,6446634.47183331,10
"13.0/11.0",2001,967092.103145793,6446635.4562682,2
"13.0/12.0",2001,967104.007590927,6446636.44070309,10
"13.0/13.0",2001,967115.555000244,6446637.74263862,9
"13.0/14.0",2001,967127.816481218,6446638.40957287,3
"13.0/15.0",2001,967138.728889257,6446639.39400776,3
"13.0/16.0",2001,967150.633334398,6446640.37844265,3
"13.0/2.0",2001,966985.955176592,6446626.59635419,2
"13.0/3.0",2001,966997.859621748,6446627.58078909,2
"13.0/4.0",2001,967009.764066882,6446628.56522397,2
"13.0/5.0",2001,967021.565476699,6446629.64490906,2
"13.0/6.0",2001,967033.572957173,6446630.53409375,2
"13.0/7.0",2001,967044.485365212,6446631.51852864,2
"13.0/8.0",2001,967056.389810354,6446632.50296353,2
"13.0/9.0",2001,967068.294255503,6446633.48739842,9
"13.5/1.5",2001,966980.994991116,6446620.68974485,6
"13.5/10.5",2001,967086.150923215,6446629.54965887,4
"13.5/11.5",2001,967098.05536836,6446630.53409375,9
"13.5/13.5",2001,967121.86425864,6446632.50296353,1
